Code,GSS_CODE,Area,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,693.00,771.00,853.00,656.00,780.00,,,,,,,,,,,,,,,,,,
00AB,E09000002,Barking and Dagenham,13579.00,6704.00,6795.00,4587.00,4856.00,,,,,,,,,,,,,,,,,,
00AC,E09000003,Barnet,3065.00,3213.00,2683.00,2648.00,2914.00,,,,,,,,,,,,,,,,,,
00AD,E09000004,Bexley,4612.00,5017.00,6022.00,6613.00,6553.00,,,,,,,,,,,,,,,,,,
00AE,E09000005,Brent,3737.00,3630.00,3274.00,3498.00,3319.00,,,,,,,,,,,,,,,,,,
00AF,E09000006,Bromley,3228.00,2793.00,3777.00,3438.00,3501.00,,,,,,,,,,,,,,,,,,
00AG,E09000007,Camden,24644.00,2930.00,2967.00,3074.00,5991.00,,,,,,,,,,,,,,,,,,
00AH,E09000008,Croydon,5009.00,4530.00,5052.00,5138.00,5468.00,,,,,,,,,,,,,,,,,,
00AJ,E09000009,Ealing,10607.00,11452.00,12684.00,13685.00,8670.00,,,,,,,,,,,,,,,,,,
00AK,E09000010,Enfield,1945.00,1843.00,3246.00,3444.00,4424.00,,,,,,,,,,,,,,,,,,
00AL,E09000011,Greenwich,11468.00,11562.00,12826.00,13618.00,15386.00,,,,,,,,,,,,,,,,,,
00AM,E09000012,Hackney,10715.00,11238.00,12372.00,12766.00,12951.00,,,,,,,,,,,,,,,,,,
00AN,E09000013,Hammersmith and Fulham,518.00,1402.00,1577.00,1644.00,1893.00,,,,,,,,,,,,,,,,,,
00AP,E09000014,Haringey,10902.00,8290.00,9194.00,9650.00,10347.00,,,,,,,,,,,,,,,,,,
00AQ,E09000015,Harrow,762.00,1050.00,1637.00,1883.00,2012.00,,,,,,,,,,,,,,,,,,
00AR,E09000016,Havering,2354.00,2615.00,2204.00,2234.00,1987.00,,,,,,,,,,,,,,,,,,
00AS,E09000017,Hillingdon,3567.00,2314.00,1826.00,1687.00,1738.00,,,,,,,,,,,,,,,,,,
00AT,E09000018,Hounslow,8504.00,3130.00,3376.00,2157.00,1833.00,,,,,,,,,,,,,,,,,,
00AU,E09000019,Islington,19196.00,20733.00,18033.00,14469.00,14567.00,,,,,,,,,,,,,,,,,,
00AW,E09000020,Kensington and Chelsea,2599.00,2753.00,2718.00,3330.00,3311.00,,,,,,,,,,,,,,,,,,
00AX,E09000021,Kingston upon Thames,7105.00,8542.00,9732.00,,1755.00,,,,,,,,,,,,,,,,,,
00AY,E09000022,Lambeth,17076.00,18792.00,20438.00,23364.00,25198.00,,,,,,,,,,,,,,,,,,
00AZ,E09000023,Lewisham,8442.00,9058.00,9596.00,9921.00,9512.00,,,,,,,,,,,,,,,,,,
00BA,E09000024,Merton,8229.00,8938.00,9581.00,9802.00,10215.00,,,,,,,,,,,,,,,,,,
00BB,E09000025,Newham,16755.00,17453.00,25729.00,26139.00,27635.00,,,,,,,,,,,,,,,,,,
00BC,E09000026,Redbridge,7779.00,7901.00,8335.00,5408.00,5434.00,,,,,,,,,,,,,,,,,,
00BD,E09000027,Richmond upon Thames,4101.00,4908.00,3068.00,3944.00,4336.00,,,,,,,,,,,,,,,,,,
00BE,E09000028,Southwark,7832.00,7096.00,6665.00,6778.00,6772.00,,,,,,,,,,,,,,,,,,
00BF,E09000029,Sutton,1319.00,1162.00,1375.00,1587.00,1591.00,,,,,,,,,,,,,,,,,,
00BG,E09000030,Tower Hamlets,19783.00,19124.00,18616.00,18808.00,19826.00,,,,,,,,,,,,,,,,,,
00BH,E09000031,Waltham Forest,15405.00,8306.00,8795.00,7330.00,8379.00,,,,,,,,,,,,,,,,,,
00BJ,E09000032,Wandsworth,3399.00,3846.00,4400.00,5202.00,6399.00,,,,,,,,,,,,,,,,,,
00BK,E09000033,Westminster,4562.00,4453.00,4222.00,3907.00,3998.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
