Code,,Area,Number of households on the waiting list (excludes households looking for transfers) as at 1 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,724,607,720,787,703,623,679,914,"1,204","1,427","1,344","1,440","1,291","1,223","1,219","1,147","1,312",476,693,771,853,656,780,,,,,,,,,,,,,,,,,,,,,,,
00AB,E09000002,Barking and Dagenham,"1,422","1,682","1,785","1,925","2,157","2,668","3,018","3,149","2,321","7,689","9,185","10,844","11,411","11,376","12,223","13,671","11,596","11,024","13,579","6,704","6,795","4,587","4,856",,,,,,,,,,,,,,,,,,,,,,,
00AC,E09000003,Barnet,"2,975","4,429","5,004","5,489","6,732","7,030","8,738","10,732","13,627","16,470","17,909","11,241","13,982","15,166","16,103",815,981,"1,045","3,065","3,213","2,683","2,648","2,914",,,,,,,,,,,,,,,,,,,,,,,
00AD,E09000004,Bexley,"3,175","1,896","2,762","3,592","3,596","3,487","4,265","4,404","4,528","5,955","6,115","6,180","6,489","6,660","6,759","9,765","9,579","3,481","4,612","5,017","6,022","6,613","6,553",,,,,,,,,,,,,,,,,,,,,,,
00AE,E09000005,Brent,"12,974","10,153","11,703","12,603","13,511","14,746","13,425","15,504","17,351","16,398","18,609","20,386","21,737","16,260","14,443","16,735","17,580","5,102","3,737","3,630","3,274","3,498","3,319",,,,,,,,,,,,,,,,,,,,,,,
00AF,E09000006,Bromley,"2,380","2,487","3,202","3,264","3,787","3,592","3,556","3,866","2,998","4,282","4,427","4,861","3,794","5,909","6,672","1,064","2,335","3,126","3,228","2,793","3,777","3,438","3,501",,,,,,,,,,,,,,,,,,,,,,,
00AG,E09000007,Camden,"7,456","8,019","6,302","5,884","8,614","8,147","8,961","15,757","16,532","9,562","10,442","11,712","13,128","15,213","17,052","18,974","20,720","22,409","24,644","2,930","2,967","3,074","5,991",,,,,,,,,,,,,,,,,,,,,,,
00AH,E09000008,Croydon,"5,038","5,620","6,389","6,265","6,214","6,890","6,425","8,067","8,856","9,271","9,776","10,044","9,723","9,870","7,880","8,758","8,848","5,102","5,009","4,530","5,052","5,138","5,468",,,,,,,,,,,,,,,,,,,,,,,
00AJ,E09000009,Ealing,"10,705","5,829","7,261","7,709","8,132","8,289","10,763","12,808","14,324","15,936","20,653","22,711","11,174","10,683","12,020","13,870","9,213","10,676","10,607","11,452","12,684","13,685","8,670",,,,,,,,,,,,,,,,,,,,,,,
00AK,E09000010,Enfield,"3,029","5,089","4,263","6,001","8,845","7,264","9,496","12,584","7,872","7,055","6,986","6,378","6,258","6,525","6,158","6,956","6,315","2,237","1,945","1,843","3,246","3,444","4,424",,,,,,,,,,,,,,,,,,,,,,,
00AL,E09000011,Greenwich,"7,693","8,619","5,454","5,473","5,869","6,876","7,753","6,710","7,666","10,239","12,178","13,486","7,902","7,066","6,972","11,656","12,490","11,375","11,468","11,562","12,826","13,618","15,386",,,,,,,,,,,,,,,,,,,,,,,
